Workout Type,Day of the Week,Date,Start Time,End Time,Duration (min),Active Energy (kcal),Avg Heart Rate (bpm),Step Count (count)
Functional Strength Training,Tuesday,"Tuesday, June 20, 2023",12:23 PM,1:20 PM,57.7,468.49,123.08,1953
Functional Strength Training,Monday,"Monday, June 19, 2023",11:50 AM,1:10 PM,79.68,662.54,128.1,2157
Functional Strength Training,Saturday,"Saturday, June 17, 2023",11:52 AM,1:02 PM,69.77,488.5,114.2,1632
Hiking,Thursday,"Thursday, June 15, 2023",2:20 PM,4:12 PM,112.18,722.4,157.95,10646
Walking,Wednesday,"Wednesday, June 14, 2023",2:40 PM,3:38 PM,57.55,256.88,125.85,4165
Functional Strength Training,Tuesday,"Tuesday, June 13, 2023",11:58 AM,1:14 PM,75.98,567.95,126.37,2202
Functional Strength Training,Monday,"Monday, June 12, 2023",11:27 AM,12:48 PM,80.57,753.23,141.43,2329
Functional Strength Training,Friday,"Friday, June 9, 2023",11:43 AM,1:00 PM,76.45,641.99,136.7,2111
Functional Strength Training,Thursday,"Thursday, June 8, 2023",11:44 AM,12:59 PM,74.87,600.18,129.07,2025
Functional Strength Training,Wednesday,"Wednesday, June 7, 2023",11:49 AM,1:00 PM,71.12,669.97,137.18,1609
Functional Strength Training,Tuesday,"Tuesday, June 6, 2023",11:43 AM,1:02 PM,79.27,713.24,135.13,2003
Functional Strength Training,Monday,"Monday, June 5, 2023",11:29 AM,12:58 PM,88.67,757.84,137.05,1960
Functional Strength Training,Friday,"Friday, June 2, 2023",11:13 AM,12:41 PM,87.83,601.54,118.28,1847
Functional Strength Training,Thursday,"Thursday, June 1, 2023",11:43 AM,1:18 PM,94.52,716.93,120.26,1890
Functional Strength Training,Wednesday,"Wednesday, May 31, 2023",11:59 AM,1:25 PM,85.93,667.21,122.58,1876
Functional Strength Training,Tuesday,"Tuesday, May 30, 2023",11:54 AM,1:24 PM,89.6,735.44,128.58,2053
